anho,mes,ipc.dic.2008
1954,07,"0,0377"
1954,08,"0,03742"
1954,09,"0,0369"
1954,10,"0,03703"
1954,11,"0,03713"
1954,12,"0,03733"
1955,01,"0,03726"
1955,02,"0,03724"
1955,03,"0,03739"
1955,04,"0,03765"
1955,05,"0,03749"
1955,06,"0,03746"
1955,07,"0,03738"
1955,08,"0,03741"
1955,09,"0,03721"
1955,10,"0,03731"
1955,11,"0,03766"
1955,12,"0,03808"
1956,01,"0,03805"
1956,02,"0,0382"
1956,03,"0,03855"
1956,04,"0,03879"
1956,05,"0,03908"
1956,06,"0,03944"
1956,07,"0,03975"
1956,08,"0,03957"
1956,09,"0,03992"
1956,10,"0,04041"
1956,11,"0,04099"
1956,12,"0,0411"
1957,01,"0,04158"
1957,02,"0,04213"
1957,03,"0,04287"
1957,04,"0,04382"
1957,05,"0,04439"
1957,06,"0,0462"
1957,07,"0,04746"
1957,08,"0,04805"
1957,09,"0,04827"
1957,10,"0,04897"
1957,11,"0,04912"
1957,12,"0,0496"
1958,01,"0,04968"
1958,02,"0,04974"
1958,03,"0,05052"
1958,04,"0,05138"
1958,05,"0,0524"
1958,06,"0,05263"
1958,07,"0,05268"
1958,08,"0,05308"
1958,09,"0,05316"
1958,10,"0,05334"
1958,11,"0,05331"
1958,12,"0,05356"
1959,01,"0,05438"
1959,02,"0,05488"
1959,03,"0,05512"
1959,04,"0,05599"
1959,05,"0,0564"
1959,06,"0,05677"
1959,07,"0,05711"
1959,08,"0,05721"
1959,09,"0,05701"
1959,10,"0,05714"
1959,11,"0,05727"
1959,12,"0,05774"
1960,01,"0,05793"
1960,02,"0,05775"
1960,03,"0,0585"
1960,04,"0,05906"
1960,05,"0,05951"
1960,06,"0,05957"
1960,07,"0,05984"
1960,08,"0,06004"
1960,09,"0,06018"
1960,10,"0,06064"
1960,11,"0,06135"
1960,12,"0,06199"
1961,01,"0,06232"
1961,02,"0,06258"
1961,03,"0,06359"
1961,04,"0,06489"
1961,05,"0,0656"
1961,06,"0,06569"
1961,07,"0,06585"
1961,08,"0,06509"
1961,09,"0,06467"
1961,10,"0,06477"
1961,11,"0,06511"
1961,12,"0,06554"
1962,01,"0,06583"
1962,02,"0,06589"
1962,03,"0,06648"
1962,04,"0,06726"
1962,05,"0,06732"
1962,06,"0,06737"
1962,07,"0,06802"
1962,08,"0,06805"
1962,09,"0,06846"
1962,10,"0,06867"
1962,11,"0,06912"
1962,12,"0,06968"
1963,01,"0,07228"
1963,02,"0,07666"
1963,03,"0,08063"
1963,04,"0,08413"
1963,05,"0,08518"
1963,06,"0,08707"
1963,07,"0,08774"
1963,08,"0,08797"
1963,09,"0,08887"
1963,10,"0,09033"
1963,11,"0,09223"
1963,12,"0,09309"
1964,01,"0,09444"
1964,02,"0,09497"
1964,03,"0,09717"
1964,04,"0,09942"
1964,05,"0,10258"
1964,06,"0,10412"
1964,07,"0,10325"
1964,08,"0,10171"
1964,09,"0,10105"
1964,10,"0,10028"
1964,11,"0,1011"
1964,12,"0,10127"
1965,01,"0,10271"
1965,02,"0,10171"
1965,03,"0,10315"
1965,04,"0,10496"
1965,05,"0,10627"
1965,06,"0,10789"
1965,07,"0,10797"
1965,08,"0,10819"
1965,09,"0,10919"
1965,10,"0,11154"
1965,11,"0,1131"
1965,12,"0,1159"
1966,01,"0,11739"
1966,02,"0,1189"
1966,03,"0,12181"
1966,04,"0,12544"
1966,05,"0,12691"
1966,06,"0,12683"
1966,07,"0,12695"
1966,08,"0,12663"
1966,09,"0,12801"
1966,10,"0,12939"
1966,11,"0,12973"
1966,12,"0,13081"
1967,01,"0,13149"
1967,02,"0,13209"
1967,03,"0,13354"
1967,04,"0,13406"
1967,05,"0,1349"
1967,06,"0,13728"
1967,07,"0,13749"
1967,08,"0,13727"
1967,09,"0,13774"
1967,10,"0,13881"
1967,11,"0,13958"
1967,12,"0,14019"
1968,01,"0,14159"
1968,02,"0,14157"
1968,03,"0,14307"
1968,04,"0,14542"
1968,05,"0,14639"
1968,06,"0,14695"
1968,07,"0,14812"
1968,08,"0,14777"
1968,09,"0,14797"
1968,10,"0,14848"
1968,11,"0,14951"
1968,12,"0,14932"
1969,01,"0,15108"
1969,02,"0,15065"
1969,03,"0,15189"
1969,04,"0,15441"
1969,05,"0,15579"
1969,06,"0,15662"
1969,07,"0,15724"
1969,08,"0,15783"
