Año,Salario mínimo diario,Salario mínimo mensual,Variación % anual *,Decretos del Gobierno Nacional
1984,"376,6",11298,0,N/A
1985,"451,92",13558,20,0001 de enero de 1985
1986,"560,38",16811,24,3754 de diciembre de 1985
1987,"683,66",20510,22,3732 de diciembre de 1986
1988,"854,58",25637,25,2545 de diciembre de 1987
1989,"1085,32",32560,27,2662 de diciembre de 1988
1990,"1367,5",41025,26,3000 de diciembre de 1989
1991,"1723,87",51716,"26,1",3074 de diciembre de 1990
1992,2173,65190,"26,1",2867 de diciembre de 1991
1993,2717,81510,25,2061 de diciembre de 1992
1994,3290,98700,"21,1",2548 de diciembre de 1993
1995,"3964,45",118934,"20,5",2872 de diciembre de 1994
1996,"4737,5",142125,"19,5",2310 de diciembre de 1995
1997,"5733,5",172005,21,2334 de diciembre de 1996
1998,"6794,2",203826,"18,5",3106 de diciembre de 1997
1999,7882,236460,16,2560 de diciembre de 1998
2000,8670,260100,10,2647 de diciembre 23 de 1999
2001,"9533,33",286000,10,2579 de diciembre 13 de 2000
2002,10300,309000,8,2910 de diciembre 31 de 2001
2003,"11066,67",332000,"7,4",3232 de diciembre 27 de 2002
2004,"11933,33",358000,"7,8",3770 de diciembre 26 de 2003
2005,"12716,67",381500,"6,6",4360 de diciembre 22 de 2004
2006,13600,408000,"6,9",4686 de diciembre 21 de 2005
2007,"14456,67",433700,"6,3",4580 de diciembre 27 de 2006
2008,"15383,33",461500,"6,4",4965 de diciembre 27 de 2007
2009,"16563,33",496900,"7,7",4868 de diciembre 30 de 2008
2010,"17166,67",515000,"3,6",5053 de diciembre 30 de 2009
2011,"17853,33",535600,4,033 de enero 11 de 2011
2012,18890,566700,"5,8",4919 de diciembre 26 de 2011
2013,19650,589500,"4,02",2738 de diciembre 28 de 2012
2014,"20533,33",616000,"4,5",3068 de diciembre 30 de 2013
2015,"21478,33",644350,"4,6",2731 de diciembre 30 de 2014
